date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default,year,label,cmnameshort,scaling,interpolated,x
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,,0.0,#item+label,#item+name+short,,,
2016-01-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-02-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-03-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-04-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-05-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-06-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-07-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,,,,,,,254,,,4,,,,Bananas - Retail (1.3 KG),Bananas,1.0,1.0,
2016-08-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,NGN,Nigeria,Borno,2216.0,Baga Road,2385.0,254,15.0,112.0,4,2385_254_15_112,,2016.0,Bananas - Retail (1.3 KG),Bananas,1.0,0.0,1471219200.0
2016-09-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,NGN,Nigeria,Borno,2216.0,Budum,2384.0,254,15.0,112.0,4,2384_254_15_112,,2016.0,Bananas - Retail (1.3 KG),Bananas,1.0,0.0,1473897600.0
2016-10-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,NGN,Nigeria,Borno,2216.0,Baga Road,2385.0,254,15.0,112.0,4,2385_254_15_112,,2016.0,Bananas - Retail (1.3 KG),Bananas,1.0,0.0,1476489600.0
2016-11-15,Bananas - Retail,1.3 KG,vegetables and fruits,250.0,NGN,Nigeria,Borno,2216.0,Bullunkutu,2386.0,254,15.0,112.0,4,2386_254_15_112,,2016.0,Bananas - Retail (1.3 KG),Bananas,1.0,0.0,1479168000.0
